ENSDARG00000002644	578
ENSDARG00000002656	532
ENSDARG00000002659	791
ENSDARG00000002663	1030
ENSDARG00000002666	36
ENSDARG00000002670	600
ENSDARG00000002682	368
ENSDARG00000002685	0
ENSDARG00000002690	198
ENSDARG00000002696	5820
ENSDARG00000002701	42
ENSDARG00000002707	5
ENSDARG00000002710	11006
ENSDARG00000002720	738
ENSDARG00000002722	1
ENSDARG00000002728	16
ENSDARG00000002731	994
ENSDARG00000002732	200
ENSDARG00000002745	11010
ENSDARG00000002748	424
ENSDARG00000002750	147
ENSDARG00000002754	258
ENSDARG00000002758	4133
ENSDARG00000002760	41
ENSDARG00000002764	473
ENSDARG00000002768	43137
ENSDARG00000002771	93
ENSDARG00000002779	89
ENSDARG00000002787	714
ENSDARG00000002790	4014
ENSDARG00000002791	12221
ENSDARG00000002792	816
ENSDARG00000002795	242
ENSDARG00000002797	0
ENSDARG00000002798	241
ENSDARG00000002816	166
ENSDARG00000002826	141
ENSDARG00000002830	257
ENSDARG00000002831	44
ENSDARG00000002840	831
ENSDARG00000002847	142
ENSDARG00000002872	198
ENSDARG00000002877	464
ENSDARG00000002880	245
ENSDARG00000002894	251
ENSDARG00000002897	331
ENSDARG00000002909	1185
ENSDARG00000002912	579
ENSDARG00000002916	283
ENSDARG00000002917	567
ENSDARG00000002933	144
ENSDARG00000002937	648
ENSDARG00000002945	359
ENSDARG00000002947	203
ENSDARG00000002949	1390
ENSDARG00000002952	423
ENSDARG00000002956	190
ENSDARG00000002959	9
ENSDARG00000002967	791
ENSDARG00000002968	544
ENSDARG00000002970	1080
ENSDARG00000002971	218
ENSDARG00000002986	972
ENSDARG00000002988	1788
ENSDARG00000002991	145
ENSDARG00000002994	404
ENSDARG00000003008	579
ENSDARG00000003017	528
ENSDARG00000003020	233
ENSDARG00000003021	211
ENSDARG00000003022	174
ENSDARG00000003027	98
ENSDARG00000003032	7801
ENSDARG00000003035	4967
ENSDARG00000003041	54
ENSDARG00000003046	240
ENSDARG00000003054	16
ENSDARG00000003058	598
ENSDARG00000003061	265
ENSDARG00000003068	226
ENSDARG00000003069	62
ENSDARG00000003077	190
ENSDARG00000003081	15701
ENSDARG00000003084	66
ENSDARG00000003085	183
ENSDARG00000003087	759
ENSDARG00000003090	0
ENSDARG00000003091	1378
ENSDARG00000003098	2996
ENSDARG00000003109	579
ENSDARG00000003113	2691
ENSDARG00000003127	1310
